0,1
TIMP1,SPP1
SRC,TLR1
SRC,TLR2
TLR4,SRC
TLR6,SRC
STAT3,CCL2
STAT3,IL1B
IL6,STAT3
JAK2,STAT3
MAPK3,STAT3
STAT3,MAPK6
PIK3CA,STAT3
PRKAA2,STAT3
STAT3,SMAD2
STAT3,VEGFA
CYP2B6,TBXAS1
AAAS,TFEB
TFEB,GSTA1
HMBS,TFEB
LAMP1,TFEB
LGALS3,TFEB
MAP1LC3A,TFEB
TFEB,PLAA
TFEB,PTP4A2
TFEB,RPS27A
UBXD1,TFEB
YOD1,TFEB
COL23A1,TGFA
ENPP6,TGFA
IL10,TGFA
IL13,TGFA
IL17A,TGFA
TGFA,NLGN4X
TGFA,PDGFB
PROC,TGFA
TGFA,TGFB2
COL23A1,TGFB2
ENPP6,TGFB2
NLGN4X,TGFB2
PROC,TGFB2
THPO,GAST
THPO,REN
TIMD4,BAI1
TIMD4,ELMO1
TIMP1,HAVCR1
TIMP1,JUP
TIMP1,MKI67
TIMP2,BCS1L
TIMP2,IGFBP7
TLR2,TLR1
TLR4,TLR2
TLR6,TLR2
TLR4,TLR1
TLR6,TLR1
TLR4,TLR6
ACTC1,TNF
LCN2,TNF
MKI67,TNF
PECAM1,TNF
S100A4,TNF
TP53,BAX
TP53,CASP3
TP53,CASP8
TP53,CASP9
TP53,FOXO3
TP53,PRKAA1
TP53,SIRT1
UBXD1,AAAS
UBXD1,GSTA1
UBXD1,HMBS
UBXD1,LAMP1
UBXD1,LGALS3
UBXD1,MAP1LC3A
UBXD1,PLAA
UBXD1,PTP4A2
UBXD1,RPS27A
UBXD1,VCP
UBXD1,YOD1
VCP,AAAS
VCP,GSTA1
HMBS,VCP
VCP,LAMP1
LGALS3,VCP
MAP1LC3A,VCP
VCP,PLAA
VCP,RPS27A
VCP,TFEB
YOD1,VCP
AAAS,VCPIP1
VCPIP1,GSTA1
HMBS,VCPIP1
LAMP1,VCPIP1
LGALS3,VCPIP1
MAP1LC3A,VCPIP1
VCPIP1,PLAA
VCPIP1,PTP4A2
VCPIP1,RPS27A
TFEB,VCPIP1
UBXD1,VCPIP1
VCP,VCPIP1
YOD1,VCPIP1
HAVCR1,VEGFA
MKI67,VEGFA
TGFB1,VEGFA
TIMP1,VEGFA
VWF,ADAMTS13
YOD1,AAAS
YOD1,GSTA1
HMBS,YOD1
LGALS3,YOD1
YOD1,PLAA
YOD1,PTP4A2
YOD1,RPS27A
